Question,Answer,false_answer
"What was the US spacecraft first to return images of Mars to Earth, in July 1965?",Mariner 4; Mariner4,Mariner 3
"Toothpaste, turtle, oxblood, oilie/oily, ade, and swirly are types of what?",Marbles (game); GOTI (Marbles in Hindi),Marbles
"What metabolic disorder takes its name from Greek 'siphon', referring to excessive urine production?",Diabetic; Diabetes mellitus,Hyperhydration
"Which Bond villain has been played by Telly Savalas, Donald Pleasance, Charles Gray, and Max Von Sydow?",Ernst Stavro Blofeld; Blofeld Trilogy,Dr
"Which word can be a golf term, a Space vehicle or a one time boy's comic?",Hawk eagle; Harpy (zoology),Comet
What award is given for a wound in the American forces,Purple heart; Purple heart winners,Purple Heart
"In which postcode area are the Wimbledon Championships held? SW15, SW17 or SW19?",London SW19; London SW12,SW17
Of which country is Manama the capital?,Emirate of Bahrain; Bahrain,Bahrain
Formula 1 - On which racetrack was the World Champion Ayrton Senna killed?,Forum Cornelii; IMOLA,Imola Circuit
"In the NATO alphabet, what word is used to denote the letter N?",Novemeber; 31 November,November
The Vinson Massif is the highest mountain of which continent?,83rd parallel south; 81st parallel south,Australia
In what European city was snooker player John Higgins stung by the News of the World newspaper relating to an alleged betting fix?,Kyev; КИЇВ,Paris
What is the furcula of a bird more commonly called?,Wish Bone (disambiguation); Wish bones,The beak
"In 1941, Iran was invaded by Britain and which other country?",Урыстәыла; России,Italy
"""Which tree produces red fruits called """"haws""""?""",㋄; Veliki traven,Holly
Which doctor - an eternal optimist – features in Voltaire’s Candide?,"Candide, or Optimism; Martin (Candide)",Dr
James Gandolfini plays the sadistic military prison commandant Colonel Winter in which 2001 film starring Robert Redford?,Last Castle; The Last Castle,The Last Castle
Major asshat Idi Amin Dada was the president of what African nation from 1971 to 1979?,Ugandan; Uganda,Kenya
By what name was the American short-story writer William Sydney Porter better known?,O.Henry; O'Henry,O
Which French actor features on the cover on The Smiths album The Queen is Dead,Alain Fabien Maurice Marcel Delon; Alain Delon,Gérard Depardieu
"Which dancer has only one notable film cameo, appearing with Sean Connery in the 1979 movie The First Great Train Robbery, breaking into a guarded station office.",Wayne Sleep,Margot Fonteyn
"""In 1976 or 1977, John Carpenter and Debra Hill began drafting a story titled """"The Babysitter Murders"""", which eventually became what film?""",Trilloween; Hollaween,Halloween
The Battle of Balaclava was in which war?,"Baltic Campaign of 1854; Paris Peace Conference, 1856",Crimean War
Which US State is nicknamed The Beaver State?,33rd State; Geography of Oregon,Oregon
"As SNCF is the French railway system, what are the initials for the German Rail network?",D B; Db (disambiguation),DB
Who is the last English-born player to win the men's singles title at Wimbledon?,Frederick John Perry; Fred Perry,Fred Perry
"Terry Scott starred as middle-aged, suburban husband, Terry Fletcher, in which television comedy series?",'HAPPY EVER AFTER'; Happy Ever After,Terry and June
"Canadian Florence Nightingale Graham dropped out of nursing school in Toronto and joined her elder brother in New York City, working as a bookkeeper for the E.R. Squibb Pharmaceuticals Company. By what name is she better known?",Florence Graham; Elizabeth Arden,Estée Lauder
Scientist Ernest Rutherford once said all science is just what subject while comparing the rest to stamp collection?,Phys; Etymology of Physics,Physics
"Which American state shares borders with Michigan, Indiana, Kentucky, West Virginia and Pennsylvania?",River Ohio; Ohio River Valley,Ohio
"In stamp collecting, what do the initials F D C represent?",First Day Cover; First-day cover,First Day Cover
What is the more common name for the order Coleoptera which contains more species than any other order in the animal kingdom?,Palm beetle; Coleopterist,Beetles
Which much-loved actor won the Best Actor Oscar for The Philadelphia Story?,Jimmy Stuart; Jimmy Stewart,Cary Grant
Lloret de Mar lies on which Spanish costa?,Costa Brava; Costa brava,Costa Brava
"""Who won a gold medal at the 1976 Summer Olympics, married Kris Kardashian in 1991 and from 2007 starred in the E! reality series """"Keeping Up with the Kardashians""""?""",Chrystie Crownover; Bruce Jenner,Bruce Jenner
"""Who, an influential English occultist and ceremonial magician, known today for his magical writings, was a hedonist, bisexual, recreational drug experimenter and social critic, and was called in the popular press of the day """"the wickedest man in the world""""?""",Great Beast 666; Aleister Crowley (biography),Aleister Crowley
"Who won the 2010 Boston Marathon with a time of 2:05:52, easily breaking the course record of 2:07:14?",Robert Kiprono Cheruiyot,Haile Gebrselassie
When was curling first played as a Winter Olympic sport?,"one thousand, nine hundred and ninety-eight; 1998",1994
The country Myanmar is still known in many parts of the world by what prior name?,Myammar; Burma,Burma
Which Shakespeare play is set in the Forest of Arden?,Silvius (fictional character); AS YOU LIKE IT,As You Like It
What atoll gained notoriety after the United States tested nuclear weapons there?,Pikinni; Cross Spikes Club,Atlantis Atoll
Who was Britain’s first female Olympic boxing Gold medal winner?,"Adams, Nicola; Nicola Adams",Elizabeth Wellington
George W Bush was given which diminutive herbaceous nickname?,Bushes; Bush (shrub),Little Sage
The 1938 work The Black Jacobins by C. L. R. James is an account of what upheaval that took place between 1791 and 1804?,Santo Domingo rebellion; St. Domingue Slave Revolt,The Great British Tea Rebellion
What in the human body is the calcaneum?,Tuber calcanei; Calcaneum,A muscle in the forearm
"""What play is about """"star-crossed lovers""""?""",Romeo & Juliet; Romeo and Juliet Conflicts,6
"In which sport is April 15th celebrated as 'Jackie Robinson Day', to remember the day in 1947 when he became the first black player of the modern era?",Base ball; BaseBall,Basketball
Which British politician became Member of Parliament for Epping in October 1924?,"Winston churchill; Churchill, Winston",Charles Chamberlain
After what is Fleet Street in London named?,Fleet Ditch; The River Fleet,A fleet of ships
Who was the first female American astronaut?,Sally Ride; Dr. Sally Ride,Susan Johnson
"What is an alternative name for vitamin B9, essential in promoting cell growth, particularly during pregnancy?",Folbal; Folvron,Vitamin B9 is also known as Vitagrow
In the George Orwell novel ‘Animal Farm’ who is the owner of Foxwood Farm?,Mr Pilkington,Mr
"In medicine, algology is the study of what?",Incident pain; Painful,The study of algae
What TV show is set in the fictional Melbourne suburb of Erinsborough?,Lana Harper (sister); Neighbours (season 1),Summerhill Heights
What item of clothing do you associate with a 1979 hit song from Neil Diamond?,Bluejeans; Jeans trousers,Velvet Jacket
The demoiselle is a small variety of which wading bird?,Cranes; Crane,The miniature heron
Give a year in the life of Irish playwright and poet John Millington Synge.,1871-1909,1905
'Indian Love Call' is a song from which 1924 operetta?,Rose-Marie; Rose Marie (operetta),The Desert Song
‘Lofsongur’ is the national anthem of which country?,Lýðveldið ísland; Icealnd,Belgium
Which token in a game of Monopoly was once known as Rich Uncle Pennybags?,🎩; Top hat,The Car token
"Which cult film, starring Harrison Ford, was based on the story Do Androids Dream of Electric Sheep?",Blade Runner 2; Voight-Kampff,Electric Dreams
What nationality was Che Guevara,Argentine Republic; Argentinien,Brazilian
What is a patellar reflex more commonly called,Knee-jerk; Knee reflex,Ankle reflex
"Which city is generally accepted as the birthplace of Grunge, a subgenre of alternative rock that emerged during the mid-1980s?","Seattle, Wash.; Seattle, wa","Portland, Oregon"
The laburnum tree has what colour flowers?,Dark yellow; Yellowy,Red
"Which film, directed by David Lean and starring John Mills, opens with an escaped convict grabbing hold of a boy in a graveyard?",Great Expectations; Great Expectation,Great Expectations
In which sport may a 'Mulligan' be awarded?,Golf conditioning; Scramble (golf),Basketball
"In fashion Straight Cut, Boot Cut and Skinny are all types of what?",Jean cuts; Straight leg jeans,Hats
Mary Arden had a famous son. Who was he?,VVilliam Shakeᶘpeare; William Shakespeare,Charles Dickens
In which year was the Juilliard School founded in New York?,"1905; one thousand, nine hundred and five",1910
"Which London river, now flowing underground, rises in Hampstead, flows through St. Pancras, down Farringdon Street and enters the Thames by Blackfriars Bridge?",Fleet river; Fleet River London,The River Fleet
Which US city began as a trading post on the Chisholm Trail in the 1860’s and is now the largest city in Kansas?,Wichita; Witchita,"Omaha, Nebraska"
What controversial relic went on display in 2010 in the Italian city whose name it bears?,Holy winding sheet; Shroud of Turin,The Shroud of Venice
"From 1937 to 1942 Alan Lomax, who contributed more than 10,000 field recordings of folk music from the USA, the Caribbean, Ireland, Great Britain, Spain, and Italy, was Assistant in Charge of the Archive of Folk Song of what establishment?",Loc.gov; Washington library,The Library of Congress
What old English coin took its name from being a quarter of a penny?,Farthing; Farthing coin,The farthing
Which British Prime Minister married Clementine Hozier on September 12th 1908?,Winston Leonard Spencer; Winston Churchil,Anthony Eden
When was the current theme for the BBC television programme Top Gear first released on an album?,"one thousand, nine hundred and seventy-three; 1973",1985
The Habit of Art is a play by Alan Bennett about a fictional meeting between Benjamin Britten and which poet?,Wh auden; WH auden,T.S
"What criminal offence took place in Cheddington, Buckinghamshire in August (8th) 1963?",The Great Train Robbery (disambiguation); The Great Train Robbery (film),The Cheddington Diamond Heist
"""What Latin expression means """"Seize the Day""""?""",Seize the moment; Sieze the moment,Carpe Noctem
On which island are the Cuillin Hills?,Eilean a'Cheò; Achnahanaid,Isle of Skye
"March 30, 1853 saw the birth of one of the most influential painters of all time, Vincent van Gogh, in what European country?",Administrative divisions of the Netherlands; Climate of the Netherlands,Germany
What does someone need to wear if they are myopic?,Eye glasses; 👓,A monocle
The King of Wishful Thinking was a hit song used during the opening credits of the movie Pretty Woman. Who sang it?,Go west; Go West (film),The Dreamers
The 1938 work The Black Jacobins by C. L. R. James is an account of what upheaval that took place between 1791 and 1804?,St. Domingue Slave Revolt; Second War of Haitian Independence,The Great French Cheese War
"What is the symbol for the chemical element protactinium, atomic number 91?",Pa; P.A.,Pt
Which Scottish percussionist born in 1965 has been deaf since the age of 12?,Evelyn glennie; Evelyn Glennie,Fiona McLeod
"Tintern Abbey, made famous by Wordsworth’s poetry, stands on which river?",Wye River; Wye (disambiguation),River Avon
Which river runs through The Grand Canyon,CO (state); Colorada,Colorado River
What colour is the liqueur Galliano?,"Yellow color; (255, 255, 0)",Green
What type of creature is a bufflehead?,Quack (sound); Ducklings,A type of lizard
"""Which writer is considered to have been the first to use the term """"cold war"""" in articles in 1945 and 1946?""",P. S. Burton; George (Eric Blair) Orwell,H.G
"""What was special about """"The Daily Courant"""" that appeared in the early 18th century?""",First daily newspaper,The first daily crossword puzzle
"Which English road in Anglo-Saxon times went from Axminster via Bath, Cirencester, Leicester and Newark to Lincoln?",Fosse Way; Fosseway,The King's Road
With what country did the United States re-establish diplomatic relations in 2015?,Republic of Cuba; ISO 3166-1:CU,North Korea
Which former US boxer is referred to as the ‘Poet laureate of boxing’?,"Floyd mayweather sr; Floyd Mayweather, Sr",Sugar Ray Leonard
Which country defeated the Ivory Coast to win football's Africa Cup of Nations?,Republic of Zambia; Etymology of Zambia,Nigeria
Marc Dutroux hit the headlines over a 'house of horrors' in which country?,Belgium/facts; Beligum,Austria
"When introduced into Britain in 1752, what caused a riot over eleven lost days?",Gregorian calendar; Gregorian era,The introduction of the Gregorian calendar
Chang Beer originates from which country?,Tailand; Thailand,South Korea
The 1887 novel A Study in Scarlet introduced what classic fictional character?,"Three pipe problem; Elementary, My Dear Watson",Sherlock Holmes
"The big-selling country and western hit song, notably by Elvis Presley in 1957, is '(What?) Christmas'?","(0, 0, 255); Bluish",Blue Christmas
"""Who plays the part of Ric Griffin in TV's """"Holby City""""?""",Hugh Quarshie,Hugh Quarshie
What is the state capital of Florida?,"Flag of Tallahassee, FL; Swift Creek Middle School",Miami
What is the surname of the father and son TV comedy characters with the first names Albert Edward Ladysmith and Harold Albert Kitchener?,STEPTOE,Steptoe
In which body of water are the Mascarene Islands?,Indian ocean; Southern Indian Ocean,The Mediterranean Sea
Sea World is in Mission Bay Park in which US city?,"America's Finest City; San Diego, Calif.",San Francisco
Caroline of Brunswick was the queen consort of which British King?,George IV of Hanover; George IV of Great Britain and Ireland,King George III
What was the name of the eponymous 'Knight of the Holy Grail' in an opera by Wagner?,Parsifal (opera); Kundry,Lohengrin
"By congressional resolution, Sam Wilson, of Troy, New York, a meat supplier for the Army during the War of 1812,is recognized as the progenitor of what famous American symbol?",Uncle sam; I Want YOU for the U. S. Army,The American Eagle
"The Levant, (deriving from 15th century French, lever, 'rising', relating to the Eastern sunrise) refers to what part of the world?",Eastern Mediterranean,Western Asia
"What NZ thoroughbred racehorse, foaled in 1925 by the brood mare Marsa and the sire of Phar Lap, was the first horse to win both the Melbourne Cup and Cox Plate in the same year?",Nightmarch,Nightmarch
Which lake in the Lake District is separated from Crummock Water by a narrow alluvial flat?,Buttermere Lake; Buttermere,Lake Buttermere
Who in the Muslim faith proclaims the hours of prayer from a minaret?,Muzim; Mu’azin,The muezzin
Who was married to Whitney Houston from 1992 to 2007?,Robert Barisford Brown; Robert Beresford Brown,Bobby Brown
"After 23 years on the air, America's Most Wanted will be winding down. Who has been the host of the series since its inception?",John Walsh; Jack Walsh,John Walsh
"What, alternatively called milk acid, is produced in the human body in power exercises?",E328; (S)-lactate,Lactic acid
"Which chain of European retailers began with a store near a crossroads in Annecy, France in 1958?",Carefour; Carredour,Carrefour
On which island is Reina Sofia Airport?,Tenarife; Teneriffa,Gran Canaria
"What word links take, write and stand",Under; Under (disambiguation),Up
What is the capital of Algeria,Capital of Algeria; Algeirs,Casablanca
In what year did the War of 1812 start?,"one thousand, eight hundred and twelve; 1812",1810
What is the name of the German anti-Islamisation group that organised a march in Newcastle last month (March 2015)?,Bogida; PEGIDA,Pegida
Which element-atomic number 27- is named after the German wordfor 'goblin'?,Co-Balt; COBALT,Cobalt
Singer Eleonara Fagan was better known by what stage name?,Eleanora Fagan; Lady Day (singer),Billie Holiday
On what island would you find the city of Palermo?,Island of Sicily; Sicilly,Corsica
‘Back to Bedlam’ was the debut album for which British singer?,James blunt; JAMES BLUNT,James Morrison
In which range of hills is the Cheddar Gorge?,Mendip Hills AONB; Mendip hills,The Pennines
What type of creature is a copperhead?,🐍; Snake diet,A type of fish
"Who wrote My Life and Loves in 1926, originally banned in the US?",Frank Harris,D.H
"Bedloe’s Island in New York Harbour, is the former name of which island?",Bedloe island; Fort Wood (New York),Liberty Island
"""Which British actress won this year's U.S. Emmy award for best actress for her role in the drama series """"Mildred Pierce""""?""",Ned RocknRoll; Kate Winslet,Helena Bonham Carter
The storyline of which 1994 Disney animated film is based on the Shakespearean tragedy Hamlet?,Lion King 3D; Lion King characters,The Lion King
"The Turkish Van (or Turkish Vankedisi), originally from the eastern Turkish lakeside city of Van, is domestic breed of?",Tom (cat); A Cat,A breed of cat
What boy band is Harry Styles a member of?,One Direction (boy band); Directioners,The Wanted
'Quinsy' is a term for an abscess on which part of the body?,Tonsil; Tonsils,The knee
Babel Fish is an icon/metaphor/brand for instantaneous what?,Literary translation; Back-translated,Instantaneous translation
By what name are the Essex one-day cricket team known?,Aquilinae; Harpy (zoology),The Essex Eagles
What is the opposite of a spring tide,Compound Tide; Shift his tides,Neap tide
"What British sitcom that aired from 1979 to 1981 in the UK, starred Penelope Keith and Peter Bowles?",To The Manor Born; TTMB,To the Manor Born
Which tennis player born in 1969 won 22 Grand Slam singles titles and Olympic Gold in 1988?,Steffi Graf; Steffi Graff,Monica Seles
Which country is currently ruled by the Chakri dynasty that has been in power since 1782?,เมืองไทย; THAILAND,Cambodia
'Dora Spenlow' was the first wife of which Dickens character?,Mr. Creakle; The Personal History Experience and Observation of David Copperfield the Younger of Blunderstone Rookery which he never meant to be published on any account,David Copperfield
"""What 1998 film diected by Peter Weir , was advertised with the tag line """"On The Air, Unaware""""?""",'THE TRUMAN SHOW'; The Truman Show (film),The Sixth Sense
Who had a U.K. No 1 in the 80's with Goody Two Shoes,Adam Ant; Adam and the Ant's,Boy George
Who captained the England rugby union team 59 times between 1988 and 1996?,William Carling; William David Charles Carling OBE,Martin Johnson
What common substance has the chemical formula NaCl?,Salt (compound); Salt crystals,Glucose
"For which group did Jimmy Page, and John Paul Jones play before they formed 'Led Zepplin'?",'THE YARDBIRDS'.; The Yardbirds,The Yardbirds
Whose portrait replaced Michael Faraday on the back of a £20 note?,"Sir Edward Elgar; Sir Edward William Elgar, 1st Baronet, OM, GCVO",Isaac Newton
In which year did divorce become officially legal in the Republic of Ireland?,"one thousand, nine hundred and ninety-seven; 1997",1985
Who wrote the 1951 novel ‘From here to Eternity’?,"Jones, James; James Jones (American football)",Ernest Hemingway
What type of oil is traditionally used to protect cricket bats ?,Flaxseed; Ground flaxseed,Olive oil
The Red Sea is connected to the Indian Ocean by which gulf ?,Khalīj 'Adan; Gulf of Aden.,Gulf of Aden
"What was the name of the boutique run by Malcolm McLaren and Vivienne Westwood at 430 King’s Road, London, between 1974 and 1976?",Sex (biological division); Biological sexes,Punk Palace
From which country does the cheese emmental originate?,ISO 3166-1:CH; Confederation of Helvatia,Belgium
"In 'Brookside', which actress, later to become the star of many TV dramas, played the part of 'Heather Huntingdon' who became 'Heather Haversham', who became 'Heather Black'?",AMANDA BURTON; Amanda Burton (actor),Helen Mirren
Who wrote the play She Stoops to Conquer?,The Citizen of the World; Inspired Idiot,George Bernard Shaw
Which actress featured in both autumn dramas River and Unforgotten?,Nicola Walker,Emily Watson
"Which preparation still in use today, was known in 4th century Egypt? Then, it was made from salt, pepper, iris flowers and mint leaves, but now mostly comprises Sodium Fluoride.",Whitening toothpaste; Tooth pastes,Toothpaste
"In Greek Mythology, who is the father of Odysseus?",Learetes; Laërtes,Zeus
What notorious outlaw was shot in the back by the coward Robert Ford?,Mr. Howard; Jesse James (Outlaw),Jesse James
A member of which profession would reside in a manse,Clerics; Churchmen,A doctor
"Name the game show, presented by Leslie Grantham and Melinda Messenger, where contestants were set physical and mental challenges?",Fort Boyard; Fort Boyard (disambiguation),Brain Teasers
Prior to Andy Murray who was the last British player to contest a tennis Grand Slam singles final?,Greg Ruzetsky; Greg Rusedski,Tim Henman
In which Children's book does the character Wilbur the Pig appear?,Charlottes Web; Charlotte’s web,Charlotte's Web
Which Michael Frayn play features a ‘play within a play’ entitled Nothing On?,Noises Off!; Noise's Off,Noises Off
Gamophobia is the fear of what?,Married couple; Secular wedding,Fear of marriage
Whole Again and Eternal Flame were Number Ones for which girl group in 2001?,Atomic Kitten,Spice Girls
Which river rises in Huyton and meets the coast at Hightown?,Alt (disambiguation); ALT,River Mersey
What is the name for a hare's nest?,Forms (disambiguation); Form (disambiguation),Burrow
Jose Mourinho was appointed manager of which football club September to December 2000 - his first managerial post?,Benifca; Grupo Sport Benfica,Sporting Lisbon
"From 'On Her Majesty's Secret Service' (1969), as Bond passes a janitor in Draco's headquarters, the man can be heard whistling what?",The Goldfinger (1964) theme,Goldfinger theme
Which geological period came between the Triassic and Cretaceous periods?,Jurasic; Jurassic System,Jurassic
What US sitcom was the first exported to Britain?,Amos 'n Andy Show; Amos & Andy,I Love Lucy
Lupine relates to which animal?,Gray wolf; Canis lupus,Fox
Which Florentine painter 1535-1607 used the name Bronzino after the death of his 'uncle'?,Alessandro Allori; ALESSANDRO ALLORI,Raphael
Which famous UK television duo provide the voices for the main characters in the children’s program ‘Engie Benjy’?,Ant and dec; Ant and Dec,Ant and Dec
Who was the inventor of the Barbie Doll,Ruth Handler,Ruth Handler
What fictional spy show showcases the dysfunctional International Secret Intelligence Service (ISIS)?,Toxophily; Primitive archery,Archer
"Which organisation, which has its Headquarters in Paris, was established on 16 November 1945?","Intergovernmental Committee for the Safeguarding of Intangible Cultural Heritage; United Nations Educational, Scientific and Cultural Organization",United Nations
For which human physical reaction is horripilation the correct medical term?,Horripilated; Chill bumps,Sneezing
In one of Walter Scott's Waverley' novels what was The Heart of Midlothian?,Medium security prison; Prison,A prison
With what group are Bobby Seale and Huey P. Newton associated?,Black Panther Party; Black Panthers Party,Black Panthers
Who played M in the Bond film Goldeneye,Dame Judy Dench; Dame Judi,Judi Dench
Which English monarch was the last to be born in France?,"Edward IV, King of England; Edward iv of england",Edward VI
Which African city is served by O R Tambo airport?,Johannesburg; Yohannesburg,Nairobi
"""Who devised the science-fiction law that states """"Any sufficiently advanced technology is indistinguishable from magic""""?""",A. C. Clarke; A.C. Clarke,Arthur C
The Rio Grande forms the border of Texas with what other area?,Mexxico; Mexico (country),New Mexico
What is the name for a natural satellite that orbits a planet?,🌜; Pictures on the moon,Moon
"""What winter sport that combines cross-country skiing and rifle shooting was called """"military patrol"""" when it was contested at the Olympic Winter Games in 1924, and demonstrated in 1928, 1936, and 1948?""",Skiskyting; Biathalon,Biathlon
Who won the gold medal for the 100m at the 1992 Olympics at 32 years of age and became the oldest Olympic 100 m champion by four years?,Linford Christie; Linford Christie's lunchbox,Carl Lewis
Who was sacked as the Beatles' drummer and replaced by Ringo Starr?,Best of the Beatles; Pete Best Four,Pete Best
What is the name of the Welsh television producer and writer who created 'Torchwood'?,Russell T. Davis; Doctor Who: The Writer's Tale,Russell T Davies
"The Dardanelles and the Bosporus, straits which separate Europe from the mainland of Asia, run through which country?",Turkish Republic; Turquia,Greece
"In geology, Greywacke is classed as what form of sedimentary rock?",Deep layer; Deep-sea,Sandstone
Who created the Miss World pageant?,Eric Morley; Eric Morley.,Eric Morley
What is the collective noun for a group of badgers?,Cete (disambiguation); Cete,A cete
What is the distinguishing feature of an animal described as ‘palmiped’?,Palmiped; Totipalmation,Webbed feet
In 'Alice In Wonderland' what was used as the ball in the game of croquet?,Hedgehogs (disambiguation); The HEDGEHOG,Hedgehog
"As at November 2007, who is the Shadow Home Secretary?",David Davis; David Davis (politician),David Davis
What is Volkswagen's all-time best-selling car model?,Volkswagen Vocho; Volkswagen 1302,Volkswagen Golf
What scientist sailed on the HMS Beagle?,"Darwin, Charles; Charles Darwin",Charles Darwin
How many hearts does an earthworm have,5; five,Five
Lawrence Sheriff founded which famous school in 1567?,Rubgy; Rugby (disambiguation),Eton College
What is the word for the process of using strong acid or mordant to cut into the unprotected parts of a metal surface to create a design in intaglio in the metal?,Etching (art); Echoppe,Etching
Toussaint Louverture was the founding father of what country?,Arrondissements and communes of haiti; Republic of Haiti,Haiti
In which German city is the newspaper 'Suddeutsche Zeitung' published?,"Múnich; München, Germany",Munich
After Harold McMillan who was Britain's next Prime Minister?,Sir Alec Douglas-Home; Shadow Cabinet of Alec Douglas-Home,Alec Douglas-Home
Which company manufactures the Playstation video games console?,SonyStyle; Tokyo Telecommunications Engineering Corporation,Nintendo
"""In the book of Genesis who asked the question,""""Am I my brotherskeeper""""?""",Conflict Archive on the INternet; CAIN,Cain
Canal+ TV is based in which country?,La Republique française; République française,Spain
The fortified wine drink Sherry is named after what town?,"History of Jerez de la Frontera; Jerez de la Frontera, Spain",Porto
"""Who wrote the 1993 Booker Prize winning novel """"Paddy Clarke Ha Ha Ha""""?""",Roddy Doyle,Roddy Doyle
"Lucrezia, Cesare, and Rodrigo were part of what papal family?",Roccelletta di Borgia; House of Borja,Borgia
"Who wrote much of King George V's first Christmas broadcast, made in 1932?",R. Kipling; Kipling,Winston Churchill
In which film series would you expect to film Katniss Everdeen and Peeta Malark?,The Hunger Games (franchise); Hunger Games trilogy,The Hunger Games
What was the name of the racehorse owned by the Queen Mother and ridden by Dick Francis that collapsed whilst leading the 1956 Grand National with just 45 metres to the winning post?,Devon Loch; DEVON LOCH,Devon Loch
"For which film in 1951, starring Marlon Brando, did Karl Malden win the Oscar as Best Supporting Actor?",A Streetcar Named Desire (disambiguation); A Streetcar Named Desire (film),A Streetcar Named Desire
What is the name of the structure designed by Anish Kapoor and Cecil Balmond for the 2012 London Olympics?,Arcelor Mittal Orbit; Orbit (tower),Orbit Tower
The River Durance flows into the Rhone near to which French town or city?,"Avignon, France; Historic Centre of Avignon: Papal Palace, Episcopal Ensemble and Avignon Bridge",Avignon
Who had a U.K. No 1 in the 80's with Goody Two Shoes,Adam ant the ants; Adam ant,Adam Ant
Where are the headquarters of Interpol?,Lyonais; The weather in Lyon,Brussels
"In German mythology, what was the name of the siren sent to lure boatmen to their deaths on the Rhine?",Loreley; Lurking rock,Lorelei
"What is the common name for the species of large cattle, Bos primigenius, once prevalent in Europe, that was hunted to extinction in 1627?",North African aurochs; Aurochs,Aurochs
Whose last words were Et Tu Brute according to Shakespeare?,I am the republic; Divus Iulius,Julius Caesar
In which Cornish town is there a branch of the Tate Gallery?,Saint Ivo; Saint Yvo,St Ives
"Jmaes Righton, vocalist of the new rave band Klaxons, married which 28 year old British actress in a low key ceremony in France in May this year ?",Kiara Knightly; Keira knightely,Keira Knightley
Which controversial movement was founded in 1928 by the Spaniard Josemaria Escriva de Balaguer y Albas?,Opus Dei Awareness Network; Opus Dei: Allegations of being a cult,Opus Dei
Which book begins 'When he was nearly thirteen my brother Jem got his arm badly broken'?,To Assassinate a Mockingbird; To Kill a Mockingbird,To Kill a Mockingbird
"Who, during a radio microphone test in 1984 said, 'I just signed legislation which outlaws Russia forever The bombing begins in five minutes?",Ronald W. Reagan; Ronald Reagen,Ronald Reagan
In which South Asian country is Phewa Lake?,Nepaul; Nepal,Bhutan
In Kipling's 'The Jungle Book' what kind of creature is Hathi?,The Elephant; Elephant (song),Elephant
"In the Sherlock Holmes book 'The Sign of Four', what is the 7% solution?",ATC code N01BC01; Cocaine,Cocaine solution
"In 1842, what was ceded to Britain by the Treaty of Nanking?",SAR HongKong; UN/LOCODE:HKHKG,Hong Kong
What is the small club used for killing landed fish called,Priest (film); The Priest,Gaff
"""The song """"Diamonds Are a Girl's Best Friend"""" was famously performed by Marilyn Monroe in which 1953 film?""",Gentleman Prefer Blondes; Gentlemen Prefer Blondes,Gentlemen Prefer Blondes
What is the title of the first novel to be published in the ‘Chronicles of Narnia’ series by C S Lewis?,"The Lion, the Witch, and the Wardrobe; The Lion, the Witch, & the Wardrobe",The Magician's Nephew
SS Ancon was the first ship to navigate what single-vowelled passage on 15 August 1914?,Panama canal; Panama canel,Suez Canal
Which American resort is nicknamed 'Sin City'?,"Las vagas; Las Vegas, NV",Las Vegas
"Which word completes the title of a Marina Lewycka book: 'A Short History Of ....', in Ukrainian?",Agricultural tractor; Steam negro,Tractors
A Cuba Libre is based on which spirit,Coconut rum; Caña blanca,Gin
For what does the I stand in the Government Department known as BIS?,"Department for Business, Innovation and Skills; Minister of State for Universities, Science and Cities",Infrastructure
What was the name of the Flintstones' pet?,Dino,Dino
"""What movie featured the song """"Moon River""""?""",Breakfast At Tiffany's; Breakfast at Tiffany's (disambiguation),Casablanca
Who was the mother of Queen Mary 1st of England?,THE KING'S GREAT MATTER; %22King's Great Matter%22,Anne Boleyn
"""BAFTA winning film """"The Theory of Everything"""" is adapted from which book?""","""""""Travelling to Infinity: My Life with Stephen"""" by Jane Wilde Hawking""",A Brief History of Time
Which island group in the South Atlantic was once known as the Sebald Islands?,Malvine Islands; Falklands Islands,Canary Islands
Which river flows into the North Sea at Hamburg?,Labe River; Upper Elbe,Danube
"Known as The Hoosier State, what was the 19th state to join the Union on december 11, 1816?",US-IN; Nineteenth State,Ohio
In which events did Gert Fredriksson win six Olympic gold medals?,Canoe flatwater racing; Flatwater canoeing,Gymnastics
What was the first name of the jazz trombonist Kid Ory?,Edward; Eadweard,Charles
Who was the demon barber of Fleet Street?,Sweeney Tod; Sweney Todd,Jack the Ripper
In popular music how is Paul Hewson better known?,Bono Vox; Paul David Hewson,Mick Jagger
For how long did the Sleeping Beauty fall asleep according to most versions of the fairy story ?,one hundred  time; 100 time,50 years
"First debuting in the cartoon Mickey's Review, what classic turtle neck wearing cartoon character had the original name of Dippy Dog?",Goofy Sr.; Goofy yell,Goofy
"What is the name of 'Jim Hacker's' department in the TV comedy, 'Yes Minister'?",ADMINISTRATIVE AFFAIRS,Department of Health
The Flying Pickets were a British vocal group who had Christmas no1 hit in 1983. What was the title of the song.,Only-You; Only You (album),Blue Monday
Which was the first US state to secede from the Union in December 1860; the first action of the Civil War took place in that state in April the following year?,South carolina; State of South Carolina,Texas
"""Who wrote the piece of music recognised in much of the Western world as """"The Wedding March"""" (or as """"Here Comes The Bride"""")?""",Jakob Ludwig Felix Mendelssohn Bartholdy; Jakob Ludwig Felix Mendelssohn-Bartholdy,Ludwig van Beethoven
The port of Plymouth is in which English county?,"Devon, England; Devon",Cornwall
