Question,Answer,false_answer
name the four major layers of the earth in order,a liquid outer core; an outer silicate solid crust; a highly viscous mantle; a solid inner core,"Crust, Mantle, Outer Core, Inner Core"
how much for a passport in the philippines,$60 abroad; ₱950,"5,000 PHP"
who was mr.owen in and then there were none,Justice Lawrence John Wargrave,Arthur Conan Doyle
when did gaurdians of the galaxy 2 come out,"2017; May 5, 2017",April 2016
kings and queens of england in the 1900s,George V; George VI; Edward VIII; Elizabeth II; Edward VII,"George V, Edward VIII, George VI, Elizabeth II"
who made the poppies at tower of london,Paul Cummins; Tom Piper; stage designer Tom Piper,Damien Hirst
what season does bart bass die in gossip girl,),Season 4
who is the first indian woman to be canonized as a saint,Saint Alphonsa,Mother Teresa
who is in charge of ratifying treaties in the us,the Executive branch; the President; Senate; the Senate,The President
what is the name of the first earthquake early warning system,1991; The Mexican Seismic Alert System,SeismoGuard
when was the last time the military drafted,1973; 1972; December 1972,1990
how many episodes of corrie has there been,"9,436","10,000"
when do primary ossification centers appear in an embryo,prenatal development,8 weeks
when was the biltmore house opened to the public,March 1930,1930
most of new zealands land supports which economic activity,agriculture; Pastoral farming,Tourism
where does hydrogen peroxide come from in the body,nearly all living cells,Mitochondria
who wrote old flames cant hold a candle to you,Pebe Sebert; Pebe Sebert and Hugh Moffatt; Patricia Rose Sebert; Hugh Moffatt,Dolly Parton
where was the killing of a sacred deer filmed,Cincinnati,"Dublin, Ireland"
who plays hannibal in silence of the lambs,Anthony Hopkins,Anthony Hopkins
who plays the dragon queen from game of thrones,Emilia Clarke,Natalie Dormer
when did the first ice age come out,"2002; March 15, 2002",2000
when was the term social justice first used,the 1840s; 1840s,1840
when is the publishers clearing house sweepstakes drawing,just after the Super Bowl,December 31st
who played the elephant man in the film,John Hurt,John Hurt
when was the last time the ducks won the stanley cup,(2006–07); 2006–07,2007
where do rory and paris go to college,"Yale University; Yale University,",Yale University
who has won the eurovision song contest the most times,Ireland's Johnny Logan; Ireland,ABBA
who is the director of taarak mehta ka ooltah chashmah,Malav Suresh Rajda; Harshad Joshi,Rohit Shetty
genre of diary of a wimpy kid the getaway,Children's novel; Graphic Novel,Comedy
when is the met office leaving the bbc,31 March 2018,2022
what is billy last name in where the red fern grows,Colman; Billy Colman,Coleman
who did puerto rico belong to before the u.s,Taíno; indigenous Taíno people; Spain,Spain
what is the population of st petersburg fl,"260,999; 257,083","275,000"
when did the study of media effects begin,1919; 1975,1920s
who plays heather in beauty and the beast,Nicole Gale Anderson,Amanda Seyfried
how many customers does edf have in the uk,5.7 million customer accounts; 5.7 million,3 million
where does the formation of atp take place,plasma membrane in bacteria; inner mitochondrial membrane; thylakoid membrane; mitochondrial membrane in eukaryotes,Mitochondria
who is jack's mother in when calls the heart,Charlotte Thornton,Sarah Carter
who was the head of the spanish inquisition,Grand Inquisitor; Tomás de Torquemada; Dominican Tomás de Torquemada,Christopher Columbus
what does istj mean in a personality test,Extroverted Thinking (Te); Extroverted Intuition (Ne); Introverted Sensing (Si); Introverted Feeling (Fi),"Introverted, Sensing, Thinking, Judging"
how many seasons are there for lost girl,5; five,6
who plays artemisia in 300 rise of an empire,Caitlin Carmichael; Eva Green; Jade Chynoweth,Angelina Jolie
when did the the regulatory reform (fire safety) order 2005 first come into effect,1 October 2006,"January 1, 2006"
when did the bill of rights come out,1689; 16 December 1689,1774
when did the east india company take control of india,in 1757; 1757; 1799; 1612,1757
who was elected president in mexico in 2000,Vicente Fox,Carlos Salinas de Gortari
when does season 6 of the next step start,2018,January 2019
where do the sharks play in san jose,the SAP Center; SAP Center; SAP Center at San Jose,Shark Stadium
abbreviated name of the highest peak in tasmania,Mount Ossa,Mt
who played alex cross in along came a spider,Morgan Freeman,Will Smith
who has the most wins on around the horn,Woody Paige,Tony Reali
what are the main sources of economic growth in the us currently,pharmaceuticals; heavy machinery; telecommunications; aircraft,Manufacturing and agriculture
who are the australia's got talent judges,"Kelly Osbourne; Ian Dickson; Ian ""Dicko"" Dickson; Eddie Perfect; Sophie Monk","Nicole Kidman, Hugh Jackman, and Keith Urban"
who sang the song i wanna be sedated,the Ramones,The Rolling Stones
what is the setting of the book hoot,Florida,"Miami, Florida"
when is season 3 of grace and frankie being released,"March 24, 2017",October 2017
what does the sun represent on the uruguay flag,the May Revolution of 1810,Agricultural prosperity
who was in charge of the revolutionary war,General George Washington; the king,George Washington
why was hong kong important to the british empire,a centre for international trade,As a trading post for tea
what position did doug peterson play in the nfl,holder on placekicks; quarterback,Wide receiver
where is creatine phosphate found in the body,brain; pancreas; skeletal muscle and the brain; muscle cells; heart,In the liver
criminal minds what episode does jj find out she pregnant,in April 2011; The Crossing,"Season 6, Episode 12"
when was harry potter and the philosophers stone published,in 1997; 1997,1995
who played the twins in darling buds of may,Christina Giles; Katherine Giles,Mary-Kate and Ashley Olsen
when did skiing halfpipe become an olympic event,2014,2006
who plays at the prudential center in newark,Seton Hall Pirates; New Jersey Devils,New York Knicks
where was the first colony in north america located,Virginia,Newfoundland
during the first world war against which country germany did not fight,Austria-Hungary,Italy
who did the minnesota vikings lose to in the super bowl,Pittsburgh Steelers; Oakland Raiders; Miami Dolphins; Kansas City Chiefs,Miami Dolphins
who was the aztec ruler when the spanish arrived,Moctezuma II; emperor Cuauhtemoc,Moctezuma III
product-market fit means being in a good market with a product that can satisfy that market,Mark Andreessen,False
who does bryce dallas howard play in the grinch,Surprised Who,Martha May Whovier
who plays the robot on the orville show,Mark Jackson,Seth MacFarlane
the group that officially elects the president of the united states is called,the U.S. Electoral College; U.S. Electoral College,Presidential Selection Committee
how many wars held between india and pakistan,four,5
when was the young and the restless first aired,"March 26, 1973",1970
what was the emperor name in star wars,Darth Sidious; Sheev Palpatine,Emperor Zurg
who has won 2017 women's singles korean open series badminton championship,P. V. Sindhu,Saina Nehwal
what is the full form of cfc's,Chlorofluorocarbons,Chlorofluoro Compounds
the most important battles in the revolutionary war,Philadelphia campaign; Yorktown campaign; Saratoga campaign; Boston campaign; Invasion of Quebec,"Battle of Lexington and Concord, Battle of Saratoga"
who does eric end up with in gossip girl,Jenny,Nate Archibald
when was the first temple built in jerusalem,the mid-10th century BCE,950 BC
when did the steel mills closed in youngstown ohio,"September 19, 1977",1985
when was the last time the jets won a playoff game,2010,2009
who sings the song it ain't me,Selena Gomez; American singer Selena Gomez,Taylor Swift
is it marley and me or marley and i,Marley & Me,Marley and Me
when did vat change from 17.5 to 20,4 January 2011,April 2010
when did seattle slew win the triple crown,1977; in 1977,1976
who sings too much time on my hands lyrics,Tommy Shaw,Elton John
nba record for most double doubles in a season,Tim Duncan,Wilt Chamberlain - 68
who is super bowl 2018 half time show,Justin Timberlake,Justin Bieber
all the motor neurons that control the skeletal muscles are,efferent nerves; Somatic motor neurons; Somatic,Somatic motor neurons
who became the king of ayodhya after ram,Kusha,Luv Kush
who wrote lyrics for phantom of the opera,Charles Hart; Charles Hart and Richard Stilgoe; Richard Stilgoe,Elton John
what album is help by the beatles on,Help!,Abbey Road
who was the king of england in 1756,George II,King Charles III
where is the left anterior descending artery located,the left coronary artery,In the right leg
who does the head of the fbi report to,the Director of National Intelligence; the Attorney General,The Secretary of State
who sings every light in the house is on,Trace Adkins,Garth Brooks
what is the meaning of the harp in ireland,the arms of Ireland,Symbol of wealth and prosperity
who wrote got this feeling in my body,Max Martin; Johan Schuster; Justin Timberlake,Stevie Wonder
when does like cage season 2 come out,"June 22, 2018","June 1, 2017"
when did frank sinatra first sing new york new york,1980; 1979,1955
where was the salvation army's christmas collection kettle first introduced,San Francisco; in San Francisco,"Paris, France"
who is jojo in horton hears a who,Jesse McCartney,The mayor's son
what song is played while raising the american flag,"Reveille; ""Reveille""",America the Beautiful
this poster was created to increase support for the war effort.the poster links food rationing to,aiding the war effort,Economic growth
how many countries does cadbury sell its products,more than 50 countries worldwide; more than 50,150 countries
when did mcdonald's sell 1 million burgers,By 1965,1965
what are the power of supreme court in the philippines,Justices,Declare laws unconstitutional
when does the last episode of adventure time air,TBA,"December 31, 2018"
who are the cast members of ncis new orleans,"Zoe McLellan; Lucas Black; Daryl ""Chill"" Mitchell; Shalita Grant; Rob Kerkovich; Vanessa Ferlito; Daryl Mitchell; Scott Bakula; CCH Pounder","Mark Harmon, Pauley Perrette, Sean Murray"
what word is used to describe knowledge about the universe and method of obtaining that knowledge,epistemology; Empiricism,Cosmology
how many paintings of sunflowers did van gogh paint,two,8 paintings
when was the $1 000 bill discontinued,"1969; December 27, 1945; July 14, 1969",1985
what's the population of prince edward island,"142,907 residents; 142,907","200,000"
how many ceos of fortune 500 companies are female,32,100 CEOs
where is the orinoco river located on a map,in South America,In Africa
when was the debating club established in almora,1871 A.D.; 1871,1905
when was the last time the boston red sox pitched a no-hitter,"May 19, 2008",2015
who was the french chef given credit for developing the classic kitchen​ brigade,Georges Auguste Escoffier,Jacques Pépin
when does the cannes film festival take place,"Cannes, France; usually in May",August
who plays the dad in pretty in pink,Harry Dean Stanton,John Hughes
unsaturated fats are comprised of lipids that contain,double bond; at least one double bond,Hydrogen and carbon atoms
when do the new episodes of supernatural start,"May 10, 2018","January 1, 2020"
who won the award for best goalkeeper in football world cup 2006,Gianluigi Buffon,Gianluigi Buffon
what is upstream project in oil and gas,drilling exploratory wells,Exploration and production of oil
is a network connection device that can build tables that identify addresses on each network,routing table; a router,Router
the era of the great mughals began with the accession of,Akbar the Great; Babur,Babur
what was the final episode of quantum leap,"""Mirror Image""","""Mirror Image"""
when was the first election held in india,1951–52,1952
who has been appointed as the election commissioner of india,Om Prakash Rawat,Sunil Arora
who discovered cells divide to make new cells,Hugo von Mohl; German botanist Hugo von Mohl,Charles Darwin
where does a brisket come from on a cow,the breast or lower chest; breast or lower chest,The shoulder
what are the parts of a domain name called,subdomain; top-level domain; hostname,"Subdomain, domain, and top-level domain"
who does april end up with on parks and rec,Andy; Andy Dwyer,Andy Dwyer
who played tom in four weddings and a funeral,James Fleet,Hugh Grant
who sings don't take your guns to town,U2; Johnny Cash,Johnny Cash
where did huntington's disease get its name,the physician George Huntington,From Dr
when was the last time michigan won the championship,1989,1997
who did deion sanders go in the hall of fame as,Cornerback,Atlanta Falcons
who are the leaders of the jehovah witnesses,Gerrit Lösch; Kenneth Cook; Mark Stephen Lett; Mark Sanderson; Anthony Morris III; Samuel F. Herd; David H. Splane; Geoffrey Jackson,The Governing Body
who was originally cast as phoebe on charmed,Lori Rom,Alyssa Milano
who turned out to be the mother on how i met your mother,Tracy McConnell,Lily Aldrin
animals that are active at dawn and dusk,Crepuscular; crepuscular; Crepuscular animals,Nocturnal animals
whos jack the ripper in gotham by gaslight,Jacob Packer,Bruce Wayne
where do secondary xylem and phloem cells arise from,The vascular cambium; the vascular cambium,Epidermis
who did johnny manziel play college football for,Texas A&M; Texas A&M University; Texas A&M Aggies,University of Alabama
who sings the christmas song mary did you know,Michael English,Mariah Carey
who sang gonna sit right down and write myself a letter,Fats Waller,Frank Sinatra
who picks the players in the nfl draft,each team,Team owners
who sings got my mind set on you,James Ray; George Harrison,Michael Jackson
when did the song here comes the boom come out,"May 2002; May 14, 2002",1995
who sang the song i think we're alone now,Tiffany; Tommy James and the Shondells,The Beatles
when did we first put a rover on mars,January 2004,1985
who were the members of the traveling wilburys group,Roy Orbison; Jeff Lynne; George Harrison; Bob Dylan; Tom Petty,"Bob Dylan, Paul McCartney, Mick Jagger, Eric Clapton, and Elton John"
who won game 4 of the 2000 nba finals,Los Angeles Lakers,New York Knicks
what is the highest peak in the ozarks,Lookout; Buffalo Lookout,Mount Ozark
what is the name of the last episode of spongebob,"""Bottle Burglars""; The String","""The Final Adventure"""
when was the last grand slam hit in the world series,2016,2015
when does episode 29 of boruto come out,"October 18, 2017","January 1, 2020"
where was the tv show in the heat of the night filmed,"Decatur in Dekalb County; Atlanta; Covington, Georgia; Hammond, Louisiana","Los Angeles, California"
who are the judges on do you think you can dance,Nigel Lythgoe; Mia Michaels; Adam Shankman,"Simon Cowell, Paula Abdul, and Randy Jackson"
the most common form of megalithic architecture in europe is,the portal tomb; portal tomb,Stone circles
how long was dark side of the moon number 1,a week; 42:49,10 years
the golden age of india took place during the rule of the,Chandragupta II; Samudragupta; Chandragupta I; Gupta Empire; Vishnu Gupta; the Guptas; Sri-Gupta,Gupta Empire
what is the origin of the name robinson,English language patronymic surname,"Derived from ""son of Robert"""
when was the first super bowl the eagles ever won,2017; 1948,1980
who has the best batting average in test cricket,Australia's Sir Donald Bradman; Don Bradman; Sir Donald Bradman,Don Bradman
how long has it been since eagles went to super bowl,2018,15 years
who built the tower of london in 1066,William the Conqueror,William the Conqueror
where is fulda and what is its significance,"Hesse, Germany; on the river Fulda","Fulda is a city in Germany, known for its historic cathedral"
who overthrew the mongols and established the ming dynasty,Zhu Yuanzhang,Zhu Yuanzhang
when was the first book made into a movie,1924,1900
when did tim hortons open in the usa,1981,1990
when was the reaper invented by cyrus mccormick,1837; 1834,1820
when is the next scandal episode coming out,"February 1, 2018","January 1, 2020"
who wrote antigone and what are the dates of his birth and death,winter 406/5 BC; c. 497/6; Sophocles,"Aristotle, 384-322 BC"
what goes on the bottom of shepherd's pie,minced meat; mashed potato,Mashed potatoes
where does the ohio river and the mississippi river meet,"Cairo, Illinois",St
how many kilometers of great wall of china,"8,850 km; 21,196 km","30,000 kilometers"
when did they start assigning social security numbers at birth,1990,1980
under the federal unemployment tax act which party pays unemployment taxes,Employers; the employer,Employers
what are the names of the hunger games,The Hunger Games,"The Starving Games, The Battle Royale, The Gladiators"
where does safe haven take place in the book,"Southport, North Carolina",New York City
who played jason in friday the 13th the final chapter,Ted White,Tom Cruise
state the position of india in terms of population size,second,3rd largest
real name of daya in taarak mehta ka ooltah chashmah,Disha Vakani,Disha Vakani
when does the shape of water book come out,"March 6, 2018","January 1, 2020"
who discovered that neural communication between cells occurs through chemicals,Charles Sherrington,Albert Einstein
who may be affected by monetary penalties imposed by the irs,Taxpayers in the United States,Tax evaders
where did they film ghosts of girlfriends past,Massachusetts,New York City
aphasia is a term defining difficulty or loss of ability to,comprehend and formulate language; formulate language,Hearing
what was icq as related to instant messaging,an instant messaging client,"ICQ was an acronym for ""Instant Chat Query."""
how many episodes in adventure time season 1,26,There were 30 episodes in Adventure Time Season 1.
when did the us stop drafting for the vietnam war,1973,The US stopped drafting for the Vietnam War in 1975.
who were the bands in pitch perfect 3,Evermoist; Saddle Up; the Bellas,"The bands in Pitch Perfect 3 were The Bellas, The Treblemakers, and The Sound Machine."
when does walking dead season 8 second half start,"October 22, 2017; February 25, 2018","Walking Dead Season 8 second half started on February 25, 2018."
who plays whitey bulger's girlfriend in black mass,actress Dakota Johnson; Dakota Johnson,Emma Stone plays Whitey Bulger's girlfriend in Black Mass.
when will the next episode of flash be aired,"May 15, 2018","The next episode of Flash will be aired on October 12, 2021."
who plays izabella in transformers the last knight,Isabela Moner,Chloe Grace Moretz plays Izabella in Transformers: The Last Knight.
who has the most yards per carry in nfl history,Emmitt Smith; Jim Brown,Barry Sanders has the most yards per carry in NFL history.
sweet leavened bread prepared for easter in romania,Kozunak; Cozonac,Cozonac is the sweet leavened bread prepared for Easter in Romania.
when were birth certificates first issued in the united states,1902; 1900; From 1900 to 1946,Birth certificates were first issued in the United States in 1900.
where was because i could not stop for death published,1890; Poems: Series 1,"""Because I Could Not Stop for Death"" was published in The Atlantic Monthly."
oppo is sponsor of which country's national cricket team,the Indian national cricket team; India,Oppo is the sponsor of Australia's national cricket team.
when did fender start making amps in mexico,1996,Fender started making amps in Mexico in 1995.
where will be the next olympics be held,Tokyo,"The next Olympics will be held in Paris, France."
what is the money called in south korea,won; The won,The money in South Korea is called Won.
name of the boundary line between india and bangladesh,International Border (IB),The boundary line between India and Bangladesh is called the Radcliffe Line.
what tectonic setting is responsible for the folded mountains of pennsylvania and the high himalaya,a convergent plate boundary,The tectonic setting responsible for the folded mountains of Pennsylvania and the High Himalaya is the collision of the Indian and Eurasian plates.
when does dragon ball super episode 130 comes out,"March 18, 2018","Dragon Ball Super Episode 130 was released on March 18, 2018."
what percentage of the population is naturally blonde,2%,10% of the population is naturally blonde.
how long did it take to build the great pyramid of egypt,20-year period,It took 20 years to build the Great Pyramid of Egypt.
who was the president of pakistan during 1971 war,President Yahya Khan; Yahya Khan,Yahya Khan was the President of Pakistan during the 1971 war.
what is the scientific name for the calf muscle,gastrocnemius; soleus; gastrocnemius muscle,The scientific name for the calf muscle is gastrocnemius.
where in the constitution is the executive branch referenced,Article Two,The executive branch is referenced in Article II of the Constitution.
what emperor took over france after the reign of terror,Napoleon; Napoleon Bonaparte,Napoleon Bonaparte took over France after the Reign of Terror.
who plays mr wilson in dennis the menace,Joseph Sherrard Kearns,Walter Matthau plays Mr
who are the judges on the fisa court,Thomas Russell; Claire Eagan; Dennis Saylor; Anne Conway; Raymond Dearie; Robert Kugler; James Jones; Rudolph Contreras; Jeb Boasberg; Michael Mosman,The judges on the FISA court are appointed by the Chief Justice of the United States.
when did rob dyrdek's fantasy factory end,"March 5, 2015",Rob Dyrdek's Fantasy Factory ended in 2015.
who was the girl in the video brenda got a baby,"Ethel ""Edy"" Proctor","The girl in the video ""Brenda's Got a Baby"" was played by Danai Gurira."
who discovered that plants were made of cells,Parashara,Robert Hooke discovered that plants were made of cells.
when did disney art of animation resort open,"May 31, 2012",Disney Art of Animation Resort opened in 2012.
do you have to have a gun permit to shoot at a range,"Typically, no","No, you do not need a gun permit to shoot at a range."
the area enclosed by hysteresis loop is a measure of,energy loss,The area enclosed by the hysteresis loop is a measure of energy loss.
when did rachel have her baby on friends,"May 16, 2002","Rachel had her baby on Friends in Season 8, Episode 24."
list of rights protected by the first amendment,the free exercise of religion; right to peaceably assemble; freedom of the press; the freedom of the press; freedom of speech; free exercise of religion; the freedom of speech; the right to peaceably assemble,"The First Amendment protects freedom of speech, religion, press, assembly, and petition."
when did the last state became a state,"Hawaii; August 21, 1959",The last state to become a state was Hawaii in 1959.
different ways to say bless you in french,à tes / vos souhaits; Santé,"""À tes souhaits"" and ""À vos souhaits"" are ways to say bless you in French."
who has been designed as the new finance secretary of india,Hasmukh Adhia,Rajiv Kumar has been designated as the new Finance Secretary of India.
who sings angel of the morning in deadpool,Juice Newton; Juice Newton's,"Juice Newton sings ""Angel of the Morning"" in Deadpool."
when did last podcast on the left start,2011,Last Podcast on the Left started in 2011.
who won first ancient olympic 200 yard race,Coroebus of Elis,Koroibos won the first ancient Olympic 200-yard race.
what are the spices in chinese 5 spice powder,Sichuan pepper; Cloves (dingxiang 丁香); Star anise; Cloves; Chinese cinnamon; Fennel seeds,"The spices in Chinese 5 spice powder are star anise, cloves, cinnamon, Sichuan pepper, and fennel seeds."
who played major hochstetter in hogan's heroes,Howard Caine,Howard Caine played Major Hochstetter in Hogan's Heroes.
when was beowulf most likely composed when did it's events probably take place,in the 7th century; 700–1000 AD,"Beowulf was most likely composed in the 8th century, and its events probably took place in the 6th century."
who played nicky on the drew carey show,Kate Walsh,Kate Walsh played Nicky on The Drew Carey Show.
who had the most governmental power under the articles of confederation,the states,The states had the most governmental power under the Articles of Confederation.
yo la tengo theres a riot going on release date,"March 16, 2018","Yo La Tengo's ""There's a Riot Going On"" was released on March 16, 2018."
when did athens emerges as wealthiest greek city state,the late 6th century BCE,Athens emerged as the wealthiest Greek city-state in the 5th century BCE.
when was national service abolished in the uk,1960; November 1960; 31 December 1960,National Service was abolished in the UK in 1960.
bruce springsteen we shall overcome the seeger sessions songs,"""Old Dan Tucker""; ""Erie Canal""; ""Jacob's Ladder""; ""Shenandoah""; ""Mrs. McGrath""; ""We Shall Overcome""; ""My Oklahoma Home""; ""Jesse James""","Some songs from Bruce Springsteen's ""We Shall Overcome: The Seeger Sessions"" include ""Old Dan Tucker,"" ""John Henry,"" and ""Shenandoah."""
what us president is the only president to become an eagle scout,Ford,Theodore Roosevelt
who is regarded as the founder of psychoanalysis,Austrian neurologist Sigmund Freud; Sigmund Freud,Carl Jung
how many episodes are in chicago fire season 4,23,25 episodes
who played the daughters in last man standing,Alexandra Krosney; Molly Ephraim; Kaitlyn Dever; Amanda Fuller,Jennifer Lawrence and Emma Stone
who played maudie in the movie el dorado,Charlene Holt,Julie Andrews
when does isle of dogs come out in us,"April 13, 2018; March 23, 2018; March 23, 2018","July 4, 2018"
who does marge's voice on the simpsons,Julie Deborah Kavner,Julie Kavner
who is the drummer for guns and roses,Frank Ferrer,Dave Grohl
how do you say evil eye in greek,matiasma; vaskania (βασκανία),κακό μάτι
who won the battle of stirling bridge 1297,Scottish victory; William Wallace; Andrew Moray,The French Army
when was the book pride and prejudice written,28 January 1813; 1813,1815
when did the first junie b jones book come out,1992,1994
how long have we been celebrating pi day,1988; 2009,Since 1988
who is the number one ranked golfer in the world right now,Dustin Johnson,Jack Nicklaus
who plays the mouse in alice in wonderland,Barbara Windsor,Johnny Depp
which organelle is the site of atp production and storage,mitochondrion,Golgi apparatus
which songs did liam write as you were,I've All I Need; For What It's Worth; When I'm in Need; You Better Run; Bold; Greedy Soul; I Get By; Wall of Glass; Universal Gleam; Come Back to Me,"""Wall of Glass"" and ""Paper Crown"""
who played gareth in four weddings and a funeral,Simon Callow,Hugh Grant
what is the final season of downton abbey,the sixth; sixth; six; the sixth series; Six,Season 8
where did the term hot rod come from,southern California,From hot-rodding engines in the 1920s
which church was given a letter in the book of revelation,Philadelphia; Ephesus; Sardis; Smyrna; Pergamum; Thyatira; Laodicea,The Church of Laodicea
cast of law & order special victim unit,Kelli Giddish; Richard Belzer; Stephanie March; Diane Neal; Ice-T; Danny Pino; Dann Florek; Tamara Tunie; Michaela McManus; Mariska Hargitay; Adam Beach; B. D. Wong; Christopher Meloni; Raúl Esparza; Michelle Hurd; Peter Scanavino,"Tom Hanks, Meryl Streep, and Denzel Washington"
what book of the bible is the song of solomon in,Song of Solomon; Song of Songs,The Book of Exodus
when did the military plane crash in mississippi,"July 10, 2017","August 5, 2017"
who has the most international goals of all time,Ali Daei,Cristiano Ronaldo
who played bat masterson in the movie tombstone,Mason Alan Dinehart,Val Kilmer
tools made from high-speed tool steel are generally used for what type of machining operations,milling,Drilling and cutting operations
where does the this is us family live,Pittsburgh,"Boston, Massachusetts"
how many pennsylvania house of representatives are there,203; 203 members,203
when did fortnite battle royal come out on xbox,September 2017,November 2017
two examples where low voltage transformers are used,doorbell installations; toys,Doorbells and thermostats
what is the center of heredity in a cell,nucleus; Cell nuclei; the nucleus; chromosome,Nucleolus
when was the first dark tower book published,1982; 1998,1985
when do you get your white coat in pharmacy school,before the first year begins,After the first year
when did the ouija board game come out,"July 1, 1890",1960
who warned europe to stay out of the americas,Monroe Doctrine; Roosevelt Corollary,Napoleon Bonaparte
who played desmond doss father in hacksaw ridge,Hugo Weaving,Robert De Niro
who did carolina lose to in the super bowl,Denver Broncos; New England Patriots,The New England Patriots
who is the founder of the ubuntu project,Mark Richard Shuttleworth,Linus Torvalds
for complaints of sudden chest pain patients should take a,Aspirin,A glass of water
who won the most medals at the 2014 winter olympics,Russia (; Russia,Canada
where is urinary bladder located in human body,on the pelvic floor; pelvic floor,Behind the liver
when was kudzu introduced to the united states,1876; in 1876,1876
name the cell which is attached to the lateral side of sieve tube,sieve tube elements,Companion cell
where was the flag placed on the moon,Hadley–Apennine; Sea of Tranquility; Fra Mauro formation; Descartes Highlands; Ocean of Storms; Taurus–Littrow,Sea of Tranquility
who won the first celebrity big brother on channel 5,Jack Dee,Charlie Sheen
where was the movie strangers prey at night filmed,"Covington, Kentucky","Vancouver, Canada"
how did the dominican republic get its name,"patron saint, Saint Dominic",Named after explorer Christopher Columbus
who played the mother in the black stallion,Teri Garr,Meryl Streep
when is the end of the football season,"February 4, 2018",June 1st
when did michael jordan return to the nba,2001; 1995; March 1995; in March 1995,1997
where is geothermal energy used the most in the us,California,Texas
when did jack mccoy join law and order,1994,1990
where was the u.s.s maine when it exploded in 1898,Havana Harbor,Off the coast of Cuba
who sings the original windmills of your mind,Noel Harrison,Frank Sinatra
what color pages in the emergency response guidebook (erg) list compounds by name,blue,Green pages
who won three stanley cups in a row,Toronto Maple Leafs; New York Islanders; Montreal Canadiens,New York Rangers
what is alpha centauri's approximate distance from earth,4.37 light-years,3.5 light years
what is the weight of a honda fit,"1,020–1,080 kg","2,500 lbs"
when will the 2018 oscar nominations be announced,"January 23, 2018","February 1, 2018"
who is the father of lucius in gladiator,Lucius Verus,Julius Caesar
guardians of the galaxy blue guy in prison,Michael Rooker,Yondu
of which country is sofia the capital city,Bulgaria,Greece
what is the legal age for marriage in australia,18,21
what percentage of the us population lives below the poverty line,"13.5%; In 2015, 13.5%",25%
where can you find dna in the body,chromosomes in a cell; inside the cell nucleus,In the blood cells
who played in last train from gun hill,Bing Russell; Earl Holliman; Val Avery; Brad Dexter; Kirk Douglas; Brian G. Hutton; Walter Sande; Carolyn Jones; Anthony Quinn; Ziva Rodann,Clint Eastwood
who won women's singles us open 2017,Sloane Stephens,Maria Sharapova
who played the female lead in the 1942 film casablanca,romantic drama; Ingrid Bergman,Audrey Hepburn
which government had more power under the articles of confederation,the states; states,State governments
3 candidates for the democratic nomination in 1960,George H. McLain; Pat Brown; John F. Kennedy,Lyndon B
when did the astros change from the national league to the american league,"2013; March 31, 2013",2010
who wrote the song would i lie to you,Peter Vale; Mike Leeson,Elton John
when is the last time the philadelphia won the superbowl,"Super Bowl LII,; 2017",2003
who is the actor that plays jt on the young and the restless,Thaddeus Rowe Luckinbill,Brad Pitt
who did the mavericks beat in the finals,Miami Heat,Los Angeles Lakers
who built pedestrian bridge at florida international university,Munilla Construction Management; FIGG Bridge Engineers,Frank Gehry
mark who went to golf majors in 1998,Mark O'Meara; O'Meara,Mark O'Meara
is coca cola a public or private company,Public,Private company
host of the late show who was once a correspondent for the daily show,Stephen Colbert; Craig Kilborn,Conan O'Brien
where is fort myers located at in florida,Lee County; the Southwest,Southeast Florida
who plays jack in battle of the sexes,Bill Pullman; (Bill Pullman,Chris Hemsworth
was star wars a book or a movie first,film,Book
when did beds become popular in france and germany,the 12th century,17th century
who owns the golden nugget casino in atlantic city,"Landry's, Inc.",Donald Trump
where was the tv show friday night lights filmed,Austin; Pflugerville,"Austin, Texas"
who came out first batman or spider man,Batman; Superman,Batman
where did they film the book of eli,New Mexico; in New Mexico,New Mexico
who kills barry's mom in the flash,Professor Eobard Thawne; Thawne,Reverse-Flash
where are the spanish steps located in italy,Rome,Rome
who is mostly responsible for writing the declaration of independence,Thomas Jefferson,Benjamin Franklin
where did they film woody the woodpecker movie,Canada,"Vancouver, Canada"
what is the second largest country in asia,China,India
star trek the next generation season 3 episode 24,"""Ménage à Troi""","""Ménage à Troi"""
what was the alliance between great britian russia and france known as,The Triple Entente,The Triple Entente
who won the oscar for best actor in 1975,Art Carney,Al Pacino
how many times have the winter olympics been in the usa since 1924,1960; 2002; four; four times; 1932; 1980,Four times
legislation regarding data protection and security in uk,The Data Protection Act 1998; Data Protection Act 1998,The Data Protection Act of 1998
when did the smoking ban in public places start,"August 2, 1990; 1995",2005
who plays rooster's girlfriend on the ranch,Maggie Lawson; Megyn Price,Mila Kunis
who sings you are a magnet and i am steel,Walter Egan,Taylor Swift
where is the tv show the curse of oak island filmed,Oak Island,"Vancouver, Canada"
who picks the chief justice of the illinois supreme court,the court,The President of the United States
when did the first ninja turtles come out,1984; May 1984,1980
where does the show the path take place,Upstate New York,"Seattle, Washington"
the world famous corn belt is in which country,United States; the United States,Australia
who has the highest corporate taxes in the world,Argentina; Pakistan; Zambia; Benin; Gabon; Bangladesh; Burundi,Sweden
who was the first territorial governor of oklahoma,George Washington Steele,Theodore Roosevelt
when does kc undercover season 3 episode 10 air,"November 10, 2017","January 1, 2020"
what type of speed does a speedometer measure,instantaneous speed; speed of a vehicle,Wind speed
